COUNTRY_CODE,COUNTRY,GHE_CAUSE_CODE,GHE_CAUSE_TYPE,GHE_CAUSE_TITLE,YEAR,SEX_CODE,AGEGROUP_CODE,POPULATION,DEATHS,DEATHS_RATE,DEATHS_100K,DALY,DALY_RATE,DALY_100K
USA,United States of America,490,"Communicable, maternal, perinatal and nutritional conditions",Neonatal conditions,2000,FMLE,YEARS0-1,1820819.0,6271.9,0.00344457,344.5,569908.6,0.31299572,31299.6
USA,United States of America,1400,Noncommunicable diseases,Congenital anomalies,2000,FMLE,YEARS0-1,1820819.0,3332.7,0.00183033,183.0,306385.1,0.16826772,16826.8
USA,United States of America,1505,Noncommunicable diseases,Sudden infant death syndrome,2000,FMLE,YEARS0-1,1820819.0,843.0,0.00046296,46.3,75491.6,0.04146022,4146.0
USA,United States of America,390,"Communicable, maternal, perinatal and nutritional conditions",Lower respiratory infections,2000,FMLE,YEARS0-1,1820819.0,328.7,0.00018055,18.1,29618.3,0.01626648,1626.6
USA,United States of America,110,"Communicable, maternal, perinatal and nutritional conditions",Diarrhoeal diseases,2000,FMLE,YEARS0-1,1820819.0,207.1,0.00011376,11.4,21273.2,0.0116833,1168.3
USA,United States of America,1620,Injuries,Interpersonal violence,2000,FMLE,YEARS0-1,1820819.0,154.6,8.49e-05,8.5,13865.4,0.00761495,761.5
USA,United States of America,1242,Noncommunicable diseases,Paralytic ileus and intestinal obstruction,2000,FMLE,YEARS0-1,1820819.0,91.6,5.029e-05,5.0,8856.6,0.00486406,486.4
USA,United States of America,1150,Noncommunicable diseases,"Cardiomyopathy, myocarditis, endocarditis",2000,FMLE,YEARS0-1,1820819.0,83.6,4.594e-05,4.6,7505.9,0.00412225,412.2
USA,United States of America,1530,Injuries,Road injury,2000,FMLE,YEARS0-1,1820819.0,79.6,4.369e-05,4.4,7129.6,0.00391561,391.6
USA,United States of America,170,"Communicable, maternal, perinatal and nutritional conditions",Meningitis,2000,FMLE,YEARS0-1,1820819.0,71.3,3.915e-05,3.9,6388.3,0.00350847,350.8
USA,United States of America,1140,Noncommunicable diseases,Stroke,2000,FMLE,YEARS0-1,1820819.0,37.7,2.073e-05,2.1,3404.9,0.00186996,187.0
USA,United States of America,1570,Injuries,Drowning,2000,FMLE,YEARS0-1,1820819.0,33.7,1.852e-05,1.9,3022.5,0.00165994,166.0
USA,United States of America,1560,Injuries,"Fire, heat and hot substances",2000,FMLE,YEARS0-1,1820819.0,26.8,1.473e-05,1.5,2418.8,0.0013284,132.8
USA,United States of America,770,Noncommunicable diseases,Leukaemia,2000,FMLE,YEARS0-1,1820819.0,20.3,1.115e-05,1.1,1885.7,0.00103563,103.6
USA,United States of America,1270,Noncommunicable diseases,Kidney diseases,2000,FMLE,YEARS0-1,1820819.0,19.7,1.081e-05,1.1,1797.5,0.00098719,98.7
USA,United States of America,751,Noncommunicable diseases,Brain and nervous system cancers,2000,FMLE,YEARS0-1,1820819.0,11.9,6.56e-06,0.7,1095.7,0.00060179,60.2
USA,United States of America,1550,Injuries,Falls,2000,FMLE,YEARS0-1,1820819.0,8.3,4.58e-06,0.5,881.8,0.00048427,48.4
USA,United States of America,550,"Communicable, maternal, perinatal and nutritional conditions",Protein-energy malnutrition,2000,FMLE,YEARS0-1,1820819.0,6.4,3.51e-06,0.4,572.5,0.0003144,31.4
USA,United States of America,180,"Communicable, maternal, perinatal and nutritional conditions",Encephalitis,2000,FMLE,YEARS0-1,1820819.0,8.1,4.46e-06,0.4,727.8,0.00039972,40.0
USA,United States of America,1575,Injuries,Exposure to mechanical forces,2000,FMLE,YEARS0-1,1820819.0,6.9,3.81e-06,0.4,702.8,0.000386,38.6
